Status do Arquivo: Parcial
RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2024-11-18;A1AP34;A1AP;A1AP;CASH;EQUITY-CASH;BDR;;;2024-10-10;9999-12-31;;;;;BRA1APBDR001;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN;ADVANCE AUTO PARTS INC;9999-12-31;FUNGIBLE;953956800;
2024-11-18;A1CR34;A1CR;A1CR;CASH;EQUITY-CASH;BDR;;;2024-09-05;9999-12-31;;;;;BRA1CRBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;116;1;2;;;;DRN;AMCOR PLC;9999-12-31;FUNGIBLE;1513727000;
2024-11-18;A1DI34;A1DI;A1DI;CASH;EQUITY-CASH;BDR;;;2024-09-02;9999-12-31;;;;;BRA1DIBDR000;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;ANALOG DEVICES INC;9999-12-31;FUNGIBLE;739119600;
2024-11-18;A1DM34;A1DM;A1DM;CASH;EQUITY-CASH;BDR;;;2024-08-20;9999-12-31;;;;;BRA1DMBDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;ARCHER-DANIELS-MIDLAND CO;9999-12-31;FUNGIBLE;501763500;
2024-11-18;A1EE34;A1EE;A1EE;CASH;EQUITY-CASH;BDR;;;2024-09-10;9999-12-31;;;;;BRA1EEBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AMEREN CORP;9999-12-31;FUNGIBLE;493474600;
2024-11-18;A1EG34;A1EG;A1EG;CASH;EQUITY-CASH;BDR;;;2024-09-04;9999-12-31;;;;;BRA1EGBDR002;EDMXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;108;1;2;;;;DRN;AEGON LTD.;9999-12-31;FUNGIBLE;2112748000;
2024-11-18;A1EP34;A1EP;A1EP;CASH;EQUITY-CASH;BDR;;;2024-11-07;9999-12-31;;;;;BRA1EPBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN ED;AMERICAN ELECTRIC POWER CO INC;9999-12-31;FUNGIBLE;992310800;
2024-11-18;A1ES34;A1ES;A1ES;CASH;EQUITY-CASH;BDR;;;2024-10-31;9999-12-31;;;;;BRA1ESBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN;AES CORP;9999-12-31;FUNGIBLE;667395100;
2024-11-18;A1FL34;A1FL;A1FL;CASH;EQUITY-CASH;BDR;;;2024-08-20;9999-12-31;;;;;BRA1FLBDR009;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AFLAC INC;9999-12-31;FUNGIBLE;712912400;
2024-11-18;A1GI34;A1GI;A1GI;CASH;EQUITY-CASH;BDR;;;2024-09-30;9999-12-31;;;;;BRA1GIBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AGILENT TECHNOLOGIES INC;9999-12-31;FUNGIBLE;616619200;
2024-11-18;A1IV34;A1IV;A1IV;CASH;EQUITY-CASH;BDR;;;2022-09-13;9999-12-31;;;;;BRA1IVBDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;DRN;APARTMENT INVESTMENT & MANAGEMENT CO;9999-12-31;FUNGIBLE;145759700;
2024-11-18;A1JG34;A1JG;A1JG;CASH;EQUITY-CASH;BDR;;;2024-09-05;9999-12-31;;;;;BRA1JGBDR001;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;ARTHUR J GALLAGHER & CO;9999-12-31;FUNGIBLE;382938000;
2024-11-18;A1KA34;A1KA;A1KA;CASH;EQUITY-CASH;BDR;;;2020-10-29;9999-12-31;;;;;BRA1KABDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;DRN;AKAMAI TECHNOLOGIES INC;9999-12-31;FUNGIBLE;1930783200;
2024-11-18;A1LB34;A1LB;A1LB;CASH;EQUITY-CASH;BDR;;;2024-09-12;9999-12-31;;;;;BRA1LBBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN;ALBEMARLE CORP;9999-12-31;FUNGIBLE;2820796800;
2024-11-18;A1LG34;A1LG;A1LG;CASH;EQUITY-CASH;BDR;;;2020-01-27;9999-12-31;;;;;BRA1LGBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;ALIGN TECHNOLOGY INC;9999-12-31;FUNGIBLE;312432760;
2024-11-18;A1LK34;A1LK;A1LK;CASH;EQUITY-CASH;BDR;;;2020-02-17;9999-12-31;;;;;BRA1LKBDR009;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;DRN;ALASKA AIR GROUP INC;9999-12-31;FUNGIBLE;123639700;
2024-11-18;A1LL34;A1LL;A1LL;CASH;EQUITY-CASH;BDR;;;2024-11-07;9999-12-31;;;;;BRA1LLBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;121;1;2;;;;DRN ED;BREAD FINANCIAL HOLDINGS, INC.;9999-12-31;FUNGIBLE;197322520;
2024-11-18;A1LN34;A1LN;A1LN;CASH;EQUITY-CASH;BDR;;;2020-10-13;9999-12-31;;;;;BRA1LNBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;ALNYLAM PHARMACEUTICALS INC;9999-12-31;FUNGIBLE;2414370000;
2024-11-18;A1MD34;A1MD;A1MD;CASH;EQUITY-CASH;BDR;;;2022-11-21;9999-12-31;;;;;BRA1MDBDR002;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;DRN;ADVANCED MICRO DEVICES INC;9999-12-31;FUNGIBLE;12947856000;
2024-11-18;A1ME34;A1ME;A1ME;CASH;EQUITY-CASH;BDR;;;2024-09-13;9999-12-31;;;;;BRA1MEBDR000;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN;AMETEK INC;9999-12-31;FUNGIBLE;5509879200;
2024-11-18;A1MP34;A1MP;A1MP;CASH;EQUITY-CASH;BDR;;;2024-11-01;9999-12-31;;;;;BRA1MPBDR006;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN;AMERIPRISE FINANCIAL INC;9999-12-31;FUNGIBLE;481075600;
2024-11-18;A1MT34;A1MT;A1MT;CASH;EQUITY-CASH;BDR;;;2024-08-21;9999-12-31;;;;;BRA1MTBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN;APPLIED MATERIALS INC;9999-12-31;FUNGIBLE;8279748000;
2024-11-18;A1NE34;A1NE;A1NE;CASH;EQUITY-CASH;BDR;;;2021-11-18;9999-12-31;;;;;BRA1NEBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;DRN;ARISTA NETWORKS INC;9999-12-31;FUNGIBLE;1256611600;
2024-11-18;A1NS34;A1NS;A1NS;CASH;EQUITY-CASH;BDR;;;2020-01-27;9999-12-31;;;;;BRA1NSBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;ANSYS INC;9999-12-31;FUNGIBLE;343156960;
2024-11-18;A1ON34;A1ON;A1ON;CASH;EQUITY-CASH;BDR;;;2024-10-31;9999-12-31;;;;;BRA1ONBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN;AON PLC;9999-12-31;FUNGIBLE;926601200;
2024-11-18;A1PA34;A1PA;A1PA;CASH;EQUITY-CASH;BDR;;;2024-10-21;9999-12-31;;;;;BRA1PABDR001;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN;APA CORP;9999-12-31;FUNGIBLE;326530300;
2024-11-18;A1PD34;A1PD;A1PD;CASH;EQUITY-CASH;BDR;;;2024-09-30;9999-12-31;;;;;BRA1PDBDR005;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AIR PRODUCTS & CHEMICALS INC;9999-12-31;FUNGIBLE;883577600;
2024-11-18;A1PH34;A1PH;A1PH;CASH;EQUITY-CASH;BDR;;;2024-09-16;9999-12-31;;;;;BRA1PHBDR006;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;121;1;2;;;;DRN;AMPHENOL CORP;9999-12-31;FUNGIBLE;2402415600;
2024-11-18;A1RE34;A1RE;A1RE;CASH;EQUITY-CASH;BDR;;;2024-09-27;9999-12-31;;;;;BRA1REBDR009;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;ALEXANDRIA REAL ESTATE EQUITIES INC;9999-12-31;FUNGIBLE;652872000;
2024-11-18;A1RG34;A1RG;A1RG;CASH;EQUITY-CASH;BDR;;;2020-10-19;9999-12-31;;;;;BRA1RGBDR004;EDMXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;ARGENX SE;9999-12-31;FUNGIBLE;1069777000;
2024-11-18;A1SN34;A1SN;A1SN;CASH;EQUITY-CASH;BDR;;;2020-10-19;9999-12-31;;;;;BRA1SNBDR008;EDMXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;ASCENDIS PHARMA A/S;9999-12-31;FUNGIBLE;719787600;
